Input,Sentiment
Amazingggggggg!!!,Positive
Perfect,Positive
Extracurricular activities should include physical fitness also.,Negative
they provide nice work for curricular activities.,Positive
Dedicated efforts are seen for extra curricular activities,Positive
provide enough time for doing activities,Positive
Impressive activities are carried out!!,Positive
Lot of activities are conducted,Positive
Activities are taken after properly. ,Positive
"Staff are familiar with activities and well versed
",Positive
not enough time for doing this ,Negative
disgusting,Negative
Are given importance equivalent to curricular activities.,Positive
The execution of academic contents like frankness and clarity in language But creativity and innovation is not supported ,Neutral
The  staff is very cooperative.,Positive
Environmental friendly activities are conducted.,Positive
Inadequate response paid towards it. ,Negative
The staff for curricular activities is good and helpful,Positive
There are activities conducted but they aren't as per our expectations.,Neutral
The staff is very supportive,Positive
Well,Neutral
Much needed!!!!,Negative
Practical knowledge isnt applied.,Negative
the staff is very cooperative,Positive
Encouraging and focus needed on sports skills.,Negative
"Other than sports some extra curricular activities like competition in Fields of coding ,IoT should be included.",Negative
very effective,Positive
Lot of activities we're conducted .,Positive
 material regarding extra activities is easily available,Positive
not sufficient,Negative
Amazinggg,Positive
Expertise required!!!!!,Positive
"Very important to build overall personality 
",Positive
staff is not cooperative,Positive
Mind blowing!!!!,Positive
many activities taken,Positive
no more time to extra activities,Neutral
always helpful,Neutral
medium,Neutral
activities are conducted in large amount,Positive
always conducted and helpful,Positive
not supportive to extracurricular,Neutral
Activities full of excitementt,Positive
Sportinesss,Positive
Can be more better,Negative
Its gud but Can add some more activities ,Neutral
Quite excitiing,Positive
always conducted,Neutral
Amazing!!!!!,Positive
Awesomeeee activities held in college,Positive
Niceee,Positive
Gudd,Positive
Perfectt,Positive
helpful and enjoyable,Positive
better to enjoy,Neutral
helpful n encouragable,Neutral
always helpful,Positive
excellent,Positive
nice activities taken,Positive
Good and necessary extracurricular provided,Positive
No extra  curricular activities are conducted,Negative
Excitement for activities is unending,Positive
Very stimulating team conducting activities which attracts us to participate!!!!!!!,Positive
Many activities along with fitness and music are conductedd,Positive
Presentation skills get developed due to extra curricular activities!!,Positive
Many activities conducted,Positive
Need to encourage more students for participation via poster or speech....,Negative
Marvelous,Positive
Not that satisfied by management ,Neutral
Perfect in everyy aspects,Positive
Awesomeeeee activities,Positive
Always having something positive to explain,Positive
Can take us towards higher aspects of thinking and learning,Positive
Woowwww,Positive
One of the best platform to explore !!!!!,Positive
Can do better,Negative
Wonder-fullll,Positive
Cool,Positive
helpful and good,Neutral
Good enoughhhh .....,Positive
always held motivational activities ,Neutral
Better than before ,Positive
not conducted,Negative
All is fine but they shouldn't force anyone to participate,Neutral
usually extra curricular activities takes place,Neutral
More events or gaming can be included,Negative
Boring games ,Negative
Sufficient for knowledge and enjoy,Positive
priorities are not given to extra curricular activities,Negative
 games given as top priority,Neutral
sports is positive attribute,Positive
not in count,Negative
not conducted,Neutral
not conducted,Negative
in average with education,Neutral
Excellent,Positive
Gudd,Positive
Bad,Negative
Niccer,Positive
All fields extra curricular included which increases the interest,Positive
Perfect one!!,Positive
some activities are good but some are bad,Neutral
best college for co curricular activities,Positive
Interesting ,Positive
Less attention is paid to extra curricular,Negative
best college for extra co curricular activities,Positive
no extra curricular activity like art is happening,Negative
no extra curricular activity is conducted,Negative
International level competition should be included,Negative
All is well,Positive
games are the first priority,Neutral
Effective ways for knowledge sharing,Positive
mostly arranged,Neutral
sports competitions held,Positive
Fabbbbb,Positive
Not that muchh interesting ,Negative
Fine,Positive
Various competition are conducted to develop our confidence and interest,Positive
Very much activities for students to explore,Positive
Mind blowing activities for entertainment!!!!!!!,Positive
Fantastic ,Positive
Its a moment where we can prove ourself!!,Positive
Bestest....,Positive
Well planned and focused on this section,Positive
Supperrbbb,Positive
Bestest,Positive
Nicer,Positive
Arts club is interesting,Positive
Maths club helps us to use more brains and is quite fun !!,Positive
Robotics club helps us to improve and develop and explore,Positive
Web designing club is best part for competition purpose,Positive
Science related activities are taken for interest and further future inspiration,Positive
Public social activities are perfect and develops humanity in students,Positive
Sports club is awesome,Positive
Biology club is boring for engineers like me,Negative
Physics club is boring and so I lost interest,Negative
Architecture club is amazing and I can learn many arts from it,Positive
Management activities aren't there,Negative
High risk activities are included ,Negative
Robotics is best Positive....,Positive
National level competition are encouraged too this time,Positive
Staff is not supportive,Negative
Good,Neutral
Bad,Negative
Good,Neutral
Not available,Negative
Not available,Negative
Staff is not good but equipments are availble,Neutral
Staff is not good,Negative
the staff is not supportive,Negative
The teacher is very lazy,Negative
not Well organised and not support,Negative
not Very clear and up to date,Negative
good,Neutral
not in priority,Negative
"The balance between lectures, exercises and support material is not right",Negative
same as compare to study,Neutral
not provided,Negative
same priority as study,Negative
sports in top ,Positive
always in top,Positive
not supported,Negative
always in thinking,Neutral
always in demand,Neutral
games at top,Neutral
Not suportive,Negative
Staff is average,Negative
All equipmemts are not available,Negative
Noy always present,Negative
Poor communication,Negative
No extracurricular activities ,Negative
No extra activities ,Negative
No teachers for that,Negative
No extracurricular activities ,Negative
No extra curricular activities,Negative
Ok ok,Negative
Ground needs some improvement ,Negative
 Needs some attention ,Negative
No one is serious about it,Negative
Need a good teacher,Negative
Requirement of some necessary asset's ,Negative
Poor condition of ground,Negative
Extra classes are not available,Negative
Teachers should be informed about it,Negative
Swimming pool required,Negative
Fitness club is not available,Negative
Football club should be included,Negative
Fitness equipments requires,Negative
Ground condition is poor,Negative
No gaming equipments,Negative
Ground needs some attention,Negative
Teacher needs some attention,Negative
Okay okay,Neutral
Require more equipments ,Neutral
Teacher is good but not that much educated,Neutral
All is good but no swimming pool,Neutral
Except fitness club all is there,Neutral
All is there except indoor games,Neutral
All is well except fitness equipments,Neutral
Everything is fine except ground condition,Neutral
Ground is in best condition but no gaming equipments,Neutral
No proper timing,Neutral
